PAR ID,SUB,PRED,OBJ
61033457-3,michael,educated at,wyoming_valley_west_high_school
61163346-5,bayer_isant,educated at,university
61716615-3,williams,educated at,lehigh_university
61869041-4,paula_peixoto,educated at,university
62149090-2,okamoto_hisashi,educated at,university
62179610-8,eugene,educated at,university
62180263-3,joseph_e_oliger,educated at,university
62306917-3,grigory_yaroslavtsev,educated at,physics
62369421-4,maria_azua,educated at,university
64021588-6,bill,educated at,state_college_area_high_school
64216184-3,navniet_sekera,educated at,iit_roorkee
64464434-3,galit_shmueli,educated at,university
64506374-3,chris_leach,educated at,oral_roberts_university
64506374-3,chris_leach,educated at,university
64862110-3,ivan_vadimovich_loseu,educated at,department
65306628-3,ganggang_hu_guidice,educated at,high_school
65395738-4,narine_arakelian,educated at,state_surikov_institute
65583545-3,williams,educated at,university
66290659-3,columbia_grammar,educated at,stuyvesant_high_school
67390688-3,yasmine,educated at,computer
67845258-3,singh_sekhon,educated at,university
68857127-3,geoffrey,educated at,cornell_university
69313367-3,geula_malkin,educated at,bar-ilan_university
70125735-3,brie_code,educated at,university
71200294-3,vlad_levykin,educated at,zaporizhya_national_technical_university
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-2,jan_węglarz,place of birth,poznań
38294-4,jan_węglarz,place of birth,poznań
38294-4,jan_węglarz,place of birth,poznań
38294-5,jan_węglarz,place of birth,poznań
41999-1,franciszek_mertens,place of birth,schroda
93547-3,john_robin_gorell_milner,place of birth,yealmpton
145189-3,bradley_joseph_fitzpatrick,place of birth,beaverton
163060-1,nefty,place of birth,new_york_city
163060-1,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-1,nefty,place of birth,new_york_city
163060-1,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-3,nefty,place of birth,new_york_city
163060-3,nefty,place of birth,new_york_city
163060-5,nefty,place of birth,new_york_city
163060-5,nefty,place of birth,new_york_city
163060-5,nefty,place of birth,new_york_city
163060-5,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-5,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-5,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-5,fernando_ramón_sallaberry_valls,place of birth,barcelona
